id_user,tag_1,tag_2,tag_3,tag_4,tag_5
1,Productivity,Photography,Technology,Audio,Books
2,Games,Food,Video,Sports,Music
3,Music,Parenting,Fitness,Food,Home
4,Lifestyle,Drink,Fashion,Books,Video
5,Lifestyle,Management,Parenting,Food,Drink
6,Fitness,Sales,Video,Beauty,Tools
7,Science,Vehicles,Fitness,Business,Beauty
8,Communication,Business,Games,Lifestyle,Science
9,Environment,Social,Audio,Fitness,Management
10,Parenting,Home,Beauty,Design,Social
11,Management,Travel,Lifestyle,Fashion,Tools
12,Business,Communication,Audio,Sports,Food
13,Communication,Design,Business,Health,Music
14,Design,Art,Productivity,Home,Fashion
15,Design,Books,Food,Educational,Science
16,Management,Communication,Science,Design,Fashion
17,Productivity,Food,Creativity,Social,Fitness
18,Health,Audio,Sports,Games,Drink
19,Science,Beauty,Audio,Sales,Design
20,Lifestyle,Business,Books,Creativity,Photography
21,Health,Educational,Art,Tools,Games
22,Educational,Management,Video,Business,Vehicles
23,Entertainment,Photography,Communication,Technology,Books
24,Music,Business,Home,Photography,Beauty
25,Video,Health,Design,Parenting,Technology
26,Tools,Travel,Art,Drink,Vehicles
27,Environment,Music,Entertainment,Technology,Fashion
28,Science,Sports,Sales,Drink,Photography
29,Audio,Science,Sports,Environment,Food
30,Parenting,Creativity,Fitness,Management,Games
31,Vehicles,Art,Travel,Management,Fitness
32,Environment,Beauty,Food,Audio,Science
33,Vehicles,Video,Business,Home,Travel
34,Sales,Parenting,Vehicles,Educational,Environment
35,Home,Travel,Science,Environment,Creativity
36,Creativity,Fashion,Home,Food,Fitness
37,Art,Sports,Sales,Environment,Travel
38,Entertainment,Tools,Lifestyle,Sales,Food
39,Lifestyle,Games,Music,Vehicles,Fashion
40,Lifestyle,Beauty,Design,Audio,Management
41,Home,Health,Games,Sales,Photography
42,Audio,Educational,Food,Music,Fashion
43,Communication,Creativity,Environment,Audio,Productivity
44,Health,Beauty,Educational,Design,Audio
45,Travel,Productivity,Creativity,Music,Health
46,Food,Design,Games,Educational,Music
47,Vehicles,Video,Sales,Music,Lifestyle
48,Creativity,Beauty,Management,Travel,Lifestyle
49,Social,Video,Photography,Vehicles,Parenting
50,Beauty,Games,Creativity,Sports,Music
51,Drink,Sales,Technology,Art,Books
52,Educational,Drink,Design,Music,Parenting
53,Home,Social,Business,Technology,Sports
54,Fitness,Design,Parenting,Management,Video
55,Parenting,Vehicles,Business,Design,Video
56,Vehicles,Tools,Productivity,Video,Social
57,Productivity,Business,Books,Games,Audio
58,Productivity,Creativity,Social,Business,Science
59,Technology,Health,Art,Sports,Audio
60,Design,Creativity,Tools,Audio,Social
61,Technology,Lifestyle,Fitness,Educational,Audio
62,Video,Design,Books,Management,Entertainment
63,Home,Lifestyle,Sales,Art,Photography
64,Parenting,Social,Lifestyle,Health,Books
65,Science,Travel,Video,Lifestyle,Drink
66,Parenting,Drink,Food,Art,Music
67,Creativity,Technology,Photography,Travel,Environment
68,Travel,Communication,Environment,Beauty,Art
69,Environment,Social,Educational,Communication,Music
70,Vehicles,Business,Food,Travel,Books
71,Beauty,Vehicles,Productivity,Art,Management
72,Photography,Food,Business,Technology,Sports
73,Fitness,Games,Travel,Technology,Beauty
74,Games,Fitness,Photography,Drink,Business
75,Books,Productivity,Social,Video,Vehicles
76,Food,Science,Sports,Home,Technology
77,Educational,Management,Vehicles,Productivity,Social
78,Home,Technology,Creativity,Parenting,Environment
79,Social,Travel,Games,Drink,Video
80,Parenting,Food,Business,Art,Productivity
81,Home,Management,Photography,Science,Health
82,Photography,Health,Environment,Fitness,Fashion
83,Lifestyle,Creativity,Music,Travel,Productivity
84,Fitness,Creativity,Technology,Home,Communication
85,Fashion,Communication,Beauty,Audio,Sales
86,Drink,Vehicles,Music,Games,Art
87,Entertainment,Video,Health,Audio,Sales
88,Music,Social,Fitness,Business,Vehicles
89,Parenting,Drink,Creativity,Video,Health
90,Communication,Audio,Environment,Creativity,Music
91,Art,Food,Educational,Video,Design
92,Travel,Communication,Health,Home,Drink
93,Fitness,Music,Books,Art,Social
94,Management,Science,Educational,Health,Fitness
95,Fitness,Books,Fashion,Beauty,Science
96,Drink,Video,Educational,Parenting,Home
97,Music,Business,Social,Technology,Home
98,Fitness,Photography,Books,Video,Music
99,Books,Technology,Home,Health,Fitness
100,Lifestyle,Creativity,Educational,Food,Video
101,Lifestyle,Video,Science,Social,Sports
102,Social,Beauty,Audio,Home,Lifestyle
103,Management,Productivity,Technology,Business,Sports
104,Lifestyle,Environment,Photography,Design,Social
105,Parenting,Social,Entertainment,Beauty,Communication
106,Music,Books,Management,Educational,Environment
107,Beauty,Fashion,Sports,Parenting,Fitness
108,Lifestyle,Educational,Video,Books,Design
109,Books,Beauty,Video,Home,Management
110,Parenting,Business,Fitness,Art,Books
111,Audio,Photography,Design,Sports,Tools
112,Productivity,Sports,Parenting,Health,Games
113,Fashion,Technology,Creativity,Design,Communication
114,Science,Health,Sports,Productivity,Business
115,Social,Travel,Fashion,Books,Art
116,Health,Social,Vehicles,Technology,Environment
117,Sales,Home,Design,Art,Beauty
118,Home,Productivity,Tools,Social,Drink
119,Productivity,Art,Health,Travel,Vehicles
120,Communication,Environment,Sports,Fashion,Food
121,Beauty,Vehicles,Parenting,Educational,Video
122,Games,Drink,Video,Fitness,Art
123,Art,Creativity,Home,Audio,Communication
124,Entertainment,Parenting,Tools,Creativity,Productivity
125,Creativity,Educational,Music,Beauty,Science
126,Productivity,Lifestyle,Educational,Entertainment,Sports
127,Tools,Parenting,Communication,Beauty,Home
128,Audio,Vehicles,Video,Home,Music
129,Food,Entertainment,Home,Management,Lifestyle
130,Science,Art,Lifestyle,Fitness,Photography
131,Creativity,Art,Vehicles,Business,Social
132,Creativity,Science,Educational,Photography,Drink
133,Sports,Tools,Video,Communication,Vehicles
134,Technology,Environment,Social,Parenting,Tools
135,Communication,Photography,Travel,Environment,Home
136,Fitness,Food,Social,Sports,Audio
137,Science,Social,Lifestyle,Video,Food
138,Technology,Music,Vehicles,Productivity,Games
139,Business,Management,Health,Communication,Drink
140,Social,Books,Educational,Technology,Fitness
141,Drink,Sports,Vehicles,Tools,Lifestyle
142,Vehicles,Drink,Photography,Parenting,Fitness
143,Food,Travel,Design,Books,Fitness
144,Sports,Design,Fitness,Books,Business
145,Food,Books,Management,Communication,Sports
146,Music,Productivity,Business,Vehicles,Sports
147,Business,Technology,Fashion,Design,Educational
148,Fashion,Music,Sales,Travel,Communication
149,Vehicles,Fashion,Entertainment,Fitness,Video
150,Lifestyle,Business,Technology,Educational,Travel
151,Books,Social,Audio,Design,Beauty
